,Sub_cell_type,Broad_cell_type
1_CELL8259_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8260_N2,GL_1,"GL, Gland cell"
1_CELL8264_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8268_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8272_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8273_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8276_N3,SG_1,"SG, Stem/Germline cell"
1_CELL8277_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8278_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8279_N1,NE_2,"NE, Neural cell"
1_CELL8280_N2,NE_1,"NE, Neural cell"
1_CELL8281_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8283_N4,GA_4,"GA, Gastrodermal cell"
1_CELL8285_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8290_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8292_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8296_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8300_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8301_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8304_N3,NE_3,"NE, Neural cell"
1_CELL8306_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8308_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8310_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8312_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8315_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8319_N2,HA,"HA, Hair cell"
1_CELL8320_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8321_N4,GA_2,"GA, Gastrodermal cell"
1_CELL8324_N3,NE_2,"NE, Neural cell"
1_CELL8328_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8329_N2,NE_4,"NE, Neural cell"
1_CELL8332_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8334_N2,NE_1,"NE, Neural cell"
1_CELL8340_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8349_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8351_N3,HA,"HA, Hair cell"
1_CELL8356_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8357_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8358_N2,GA_3,"GA, Gastrodermal cell"
1_CELL8361_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8362_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8366_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8369_N2,NE_2,"NE, Neural cell"
1_CELL8376_N2,NE_3,"NE, Neural cell"
1_CELL8380_N2,NE_4,"NE, Neural cell"
1_CELL8385_N2,SG_4,"SG, Stem/Germline cell"
1_CELL8389_N2,SG_3,"SG, Stem/Germline cell"
1_CELL8392_N2,GL_2,"GL, Gland cell"
1_CELL8393_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL8394_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8399_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8400_N2,GL_3,"GL, Gland cell"
1_CELL8401_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8407_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8409_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8413_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL8420_N2,NE_2,"NE, Neural cell"
1_CELL8423_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8424_N3,SG_3,"SG, Stem/Germline cell"
1_CELL8427_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8430_N4,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8434_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8435_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8436_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8438_N2,NE_4,"NE, Neural cell"
1_CELL8439_N2,NE_2,"NE, Neural cell"
1_CELL8443_N2,NE_2,"NE, Neural cell"
1_CELL8449_N2,HA,"HA, Hair cell"
1_CELL8451_N4,SG_1,"SG, Stem/Germline cell"
1_CELL8455_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8456_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8457_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8460_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8462_N2,NE_1,"NE, Neural cell"
1_CELL8464_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8466_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL8467_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8468_N4,GA_4,"GA, Gastrodermal cell"
1_CELL8470_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8477_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8478_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8480_N4,NE_2,"NE, Neural cell"
1_CELL8481_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8482_N2,NE_3,"NE, Neural cell"
1_CELL8483_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8484_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8487_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8489_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8491_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8497_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8498_N2,HA,"HA, Hair cell"
1_CELL8500_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8502_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8503_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8504_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8506_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8507_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8509_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8510_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8512_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8513_N2,HA,"HA, Hair cell"
1_CELL8515_N3,GA_4,"GA, Gastrodermal cell"
1_CELL8517_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL8519_N2,GL_1,"GL, Gland cell"
1_CELL8520_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8522_N3,HA,"HA, Hair cell"
1_CELL8523_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8528_N2,SG_3,"SG, Stem/Germline cell"
1_CELL8532_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8533_N2,HA,"HA, Hair cell"
1_CELL8539_N2,NE_2,"NE, Neural cell"
1_CELL8540_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8541_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8545_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8548_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8551_N3,NE_2,"NE, Neural cell"
1_CELL8553_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8555_N2,GA_3,"GA, Gastrodermal cell"
1_CELL8557_N3,GA_4,"GA, Gastrodermal cell"
1_CELL8564_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8565_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8567_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8568_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8569_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8571_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8572_N2,HA,"HA, Hair cell"
1_CELL8574_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8576_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8582_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8585_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8586_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8588_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8589_N2,NE_2,"NE, Neural cell"
1_CELL8594_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8595_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8597_N2,HA,"HA, Hair cell"
1_CELL8598_N3,NE_4,"NE, Neural cell"
1_CELL8599_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8603_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8606_N1,SG_1,"SG, Stem/Germline cell"
1_CELL8613_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8614_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8615_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8617_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8626_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8627_N2,NE_3,"NE, Neural cell"
1_CELL8630_N3,NE_3,"NE, Neural cell"
1_CELL8631_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8632_N3,SG_2,"SG, Stem/Germline cell"
1_CELL8635_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8637_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8641_N2,NE_1,"NE, Neural cell"
1_CELL8642_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8644_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8647_N2,SG_3,"SG, Stem/Germline cell"
1_CELL8649_N2,HA,"HA, Hair cell"
1_CELL8652_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8653_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8659_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8662_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8664_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8667_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8672_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8673_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8675_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8685_N2,GA_3,"GA, Gastrodermal cell"
1_CELL8692_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8693_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8695_N2,NE_3,"NE, Neural cell"
1_CELL8696_N3,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8702_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8703_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8704_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8705_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8707_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8712_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8713_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8718_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8719_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8721_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8724_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8726_N3,GL_1,"GL, Gland cell"
1_CELL8729_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8731_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8736_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8737_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8738_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL8739_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8740_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8743_N1,GA_3,"GA, Gastrodermal cell"
1_CELL8746_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8748_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8754_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8756_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8757_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8758_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8759_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8760_N4,HA,"HA, Hair cell"
1_CELL8761_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8762_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8765_N2,GL_1,"GL, Gland cell"
1_CELL8770_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8774_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8775_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8776_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8777_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8782_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8785_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8787_N5,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8788_N2,HA,"HA, Hair cell"
1_CELL8790_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8791_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8793_N1,GA_2,"GA, Gastrodermal cell"
1_CELL8795_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8796_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8798_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8799_N3,NE_1,"NE, Neural cell"
1_CELL8801_N2,NE_1,"NE, Neural cell"
1_CELL8802_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8805_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8808_N1,HA,"HA, Hair cell"
1_CELL8809_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8810_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8811_N2,NE_2,"NE, Neural cell"
1_CELL8812_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8813_N2,NE_2,"NE, Neural cell"
1_CELL8816_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8817_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL8818_N2,NE_2,"NE, Neural cell"
1_CELL8821_N2,GA_4,"GA, Gastrodermal cell"
1_CELL8822_N2,SG_2,"SG, Stem/Germline cell"
1_CELL8827_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8829_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8831_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8834_N3,GA_3,"GA, Gastrodermal cell"
1_CELL8838_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8840_N2,SG_3,"SG, Stem/Germline cell"
1_CELL8842_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8844_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8845_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8848_N3,GA_1,"GA, Gastrodermal cell"
1_CELL8849_N3,GA_3,"GA, Gastrodermal cell"
1_CELL8850_N3,GA_2,"GA, Gastrodermal cell"
1_CELL8852_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8855_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8858_N2,HA,"HA, Hair cell"
1_CELL8860_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8865_N3,SG_1,"SG, Stem/Germline cell"
1_CELL8867_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8868_N2,GL_3,"GL, Gland cell"
1_CELL8869_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8872_N2,HA,"HA, Hair cell"
1_CELL8876_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8881_N2,NE_2,"NE, Neural cell"
1_CELL8884_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8885_N2,NE_1,"NE, Neural cell"
1_CELL8887_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8888_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8892_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL8894_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8896_N2,NE_4,"NE, Neural cell"
1_CELL8899_N2,SG_1,"SG, Stem/Germline cell"
1_CELL8900_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8903_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8907_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8908_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8909_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8910_N2,SG_2,"SG, Stem/Germline cell"
1_CELL8916_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL8921_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8925_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8926_N2,NE_1,"NE, Neural cell"
1_CELL8927_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8932_N2,NE_3,"NE, Neural cell"
1_CELL8934_N2,NE_2,"NE, Neural cell"
1_CELL8936_N2,NE_2,"NE, Neural cell"
1_CELL8938_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8939_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8943_N2,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL8944_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8945_N2,NE_3,"NE, Neural cell"
1_CELL8947_N2,HA,"HA, Hair cell"
1_CELL8952_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8954_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8957_N2,GA_2,"GA, Gastrodermal cell"
1_CELL8958_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8959_N2,NE_1,"NE, Neural cell"
1_CELL8961_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8964_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8968_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8969_N2,GL_2,"GL, Gland cell"
1_CELL8973_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8975_N2,GL_1,"GL, Gland cell"
1_CELL8977_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL8978_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8979_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8980_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8985_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL8987_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8989_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL8990_N2,GA_1,"GA, Gastrodermal cell"
1_CELL8998_N4,GL_1,"GL, Gland cell"
1_CELL8999_N2,NE_4,"NE, Neural cell"
1_CELL9004_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9005_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9010_N2,GA_2,"GA, Gastrodermal cell"
1_CELL9011_N1,GL_2,"GL, Gland cell"
1_CELL9014_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9019_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9022_N3,SG_1,"SG, Stem/Germline cell"
1_CELL9023_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9026_N1,NE_3,"NE, Neural cell"
1_CELL9028_N2,GA_4,"GA, Gastrodermal cell"
1_CELL9030_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9031_N2,NE_4,"NE, Neural cell"
1_CELL9032_N3,GA_1,"GA, Gastrodermal cell"
1_CELL9037_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9038_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9040_N2,NE_2,"NE, Neural cell"
1_CELL9044_N3,NE_2,"NE, Neural cell"
1_CELL9045_N1,GA_3,"GA, Gastrodermal cell"
1_CELL9047_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9054_N3,GA_2,"GA, Gastrodermal cell"
1_CELL9056_N3,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL9059_N2,GA_4,"GA, Gastrodermal cell"
1_CELL9065_N3,SG_1,"SG, Stem/Germline cell"
1_CELL9067_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL9068_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9069_N2,GA_4,"GA, Gastrodermal cell"
1_CELL9070_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9073_N2,NE_1,"NE, Neural cell"
1_CELL9074_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9075_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9076_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9079_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9080_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9082_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9083_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9084_N2,GA_3,"GA, Gastrodermal cell"
1_CELL9086_N3,GA_1,"GA, Gastrodermal cell"
1_CELL9087_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9091_N1,SG_1,"SG, Stem/Germline cell"
1_CELL9092_N2,GA_4,"GA, Gastrodermal cell"
1_CELL9094_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9098_N3,GA_1,"GA, Gastrodermal cell"
1_CELL9099_N1,SG_1,"SG, Stem/Germline cell"
1_CELL9100_N2,GA_3,"GA, Gastrodermal cell"
1_CELL9101_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9103_N3,HA,"HA, Hair cell"
1_CELL9104_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9105_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9107_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9108_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9109_N2,NE_1,"NE, Neural cell"
1_CELL9110_N3,GA_1,"GA, Gastrodermal cell"
1_CELL9111_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9112_N3,GA_1,"GA, Gastrodermal cell"
1_CELL9113_N2,GA_2,"GA, Gastrodermal cell"
1_CELL9116_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9117_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9118_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9119_N2,GA_2,"GA, Gastrodermal cell"
1_CELL9126_N2,GA_2,"GA, Gastrodermal cell"
1_CELL9128_N2,NE_1,"NE, Neural cell"
1_CELL9133_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9134_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9135_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9136_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9138_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9140_N2,HA,"HA, Hair cell"
1_CELL9141_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9142_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9143_N2,GL_1,"GL, Gland cell"
1_CELL9144_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9148_N1,GA_1,"GA, Gastrodermal cell"
1_CELL9156_N4,NE_2,"NE, Neural cell"
1_CELL9163_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9165_N2,GL_1,"GL, Gland cell"
1_CELL9167_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9169_N2,HA,"HA, Hair cell"
1_CELL9174_N2,NE_2,"NE, Neural cell"
1_CELL9175_N2,NE_1,"NE, Neural cell"
1_CELL9176_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9178_N2,SG_1,"SG, Stem/Germline cell"
1_CELL9179_N3,GA_3,"GA, Gastrodermal cell"
1_CELL9183_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9188_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9191_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9193_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9194_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9197_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9200_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9204_N3,NE_2,"NE, Neural cell"
1_CELL9205_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9206_N2,SG_2,"SG, Stem/Germline cell"
1_CELL9209_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9213_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9218_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9222_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9224_N3,GA_1,"GA, Gastrodermal cell"
1_CELL9229_N3,SG_1,"SG, Stem/Germline cell"
1_CELL9230_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9232_N2,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9233_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9235_N2,GA_4,"GA, Gastrodermal cell"
1_CELL9236_N3,SG_1,"SG, Stem/Germline cell"
1_CELL9246_N2,CN_4,"CN, Cnidocytes/Nematocyte cell"
1_CELL9257_N2,HA,"HA, Hair cell"
1_CELL9259_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9260_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9262_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9264_N2,NE_1,"NE, Neural cell"
1_CELL9266_N3,GA_5,"GA, Gastrodermal cell"
1_CELL9268_N3,GA_2,"GA, Gastrodermal cell"
1_CELL9270_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9272_N3,NE_3,"NE, Neural cell"
1_CELL9273_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9276_N2,CN_2,"CN, Cnidocytes/Nematocyte cell"
1_CELL9278_N2,NE_2,"NE, Neural cell"
1_CELL9280_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9285_N2,HA,"HA, Hair cell"
1_CELL9287_N2,SG_3,"SG, Stem/Germline cell"
1_CELL9288_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9289_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL9290_N2,NE_2,"NE, Neural cell"
1_CELL9291_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL9292_N3,GA_2,"GA, Gastrodermal cell"
1_CELL9299_N2,GA_1,"GA, Gastrodermal cell"
1_CELL9308_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL9309_N2,GL_1,"GL, Gland cell"
1_CELL9313_N1,GA_1,"GA, Gastrodermal cell"
1_CELL9318_N2,GA_2,"GA, Gastrodermal cell"
1_CELL9320_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL9321_N3,GA_5,"GA, Gastrodermal cell"
1_CELL9324_N2,HA,"HA, Hair cell"
1_CELL9325_N3,CN_3,"CN, Cnidocytes/Nematocyte cell"
1_CELL9328_N1,CN_1,"CN, Cnidocytes/Nematocyte cell"
